CMDLINE /usr/bin/python3 ./sl.py
MEM 0.003906 1569367396.4481
MEM 11.656250 1569367396.5486
MEM 17.621094 1569367396.6489
MEM 24.515625 1569367396.7493
MEM 31.585938 1569367396.8497
MEM 39.367188 1569367396.9501
MEM 49.222656 1569367397.0504
MEM 56.097656 1569367397.1508
MEM 56.792969 1569367397.2512
MEM 58.777344 1569367397.3516
MEM 63.878906 1569367397.4520
MEM 72.859375 1569367397.5524
MEM 78.183594 1569367397.6528
MEM 82.742188 1569367397.7532
MEM 85.828125 1569367397.8536
MEM 90.253906 1569367397.9540
MEM 93.214844 1569367398.0544
MEM 96.203125 1569367398.1549
MEM 97.570312 1569367398.2553
MEM 101.351562 1569367398.3557
MEM 102.460938 1569367398.4561
MEM 102.859375 1569367398.5565
MEM 103.503906 1569367398.6578
MEM 104.042969 1569367398.7582
MEM 104.042969 1569367398.8586
MEM 104.042969 1569367398.9590
MEM 104.042969 1569367399.0595
MEM 104.042969 1569367399.1599
MEM 104.042969 1569367399.2603
MEM 104.042969 1569367399.3608
MEM 104.042969 1569367399.4614
MEM 104.042969 1569367399.5618
MEM 104.042969 1569367399.6622
MEM 104.042969 1569367399.7626
MEM 104.042969 1569367399.8631
MEM 104.042969 1569367399.9635
MEM 104.042969 1569367400.0640
MEM 104.042969 1569367400.1644
MEM 104.042969 1569367400.2648
MEM 104.042969 1569367400.3652
MEM 104.042969 1569367400.4657
MEM 104.042969 1569367400.5661
MEM 104.042969 1569367400.6666
MEM 104.042969 1569367400.7670
MEM 104.042969 1569367400.8674
MEM 104.042969 1569367400.9679
MEM 104.042969 1569367401.0684
MEM 104.042969 1569367401.1688
MEM 104.042969 1569367401.2693
MEM 104.042969 1569367401.3697
MEM 104.042969 1569367401.4701
MEM 104.042969 1569367401.5706
MEM 104.710938 1569367401.6709
MEM 105.757812 1569367401.7713
MEM 105.757812 1569367401.8716
MEM 105.757812 1569367401.9719
MEM 105.757812 1569367402.0723
MEM 105.757812 1569367402.1727
MEM 105.757812 1569367402.2732
MEM 105.757812 1569367402.3736
MEM 105.757812 1569367402.4741
MEM 105.757812 1569367402.5746
MEM 105.050781 1569367402.6750
MEM 105.050781 1569367402.7754
MEM 105.050781 1569367402.8758
MEM 105.050781 1569367402.9763
MEM 105.050781 1569367403.0767
MEM 105.050781 1569367403.1771
MEM 105.050781 1569367403.2775
MEM 105.050781 1569367403.3779
MEM 105.050781 1569367403.4784
MEM 105.050781 1569367403.5788
MEM 105.050781 1569367403.6792
MEM 105.050781 1569367403.7796
MEM 105.050781 1569367403.8800
MEM 105.050781 1569367403.9804
MEM 105.050781 1569367404.0808
MEM 105.050781 1569367404.1812
MEM 105.050781 1569367404.2816
MEM 105.050781 1569367404.3820
MEM 105.050781 1569367404.4824
MEM 105.050781 1569367404.5828
MEM 105.050781 1569367404.6832
MEM 105.050781 1569367404.7836
MEM 105.050781 1569367404.8840
MEM 105.050781 1569367404.9845
MEM 105.050781 1569367405.0848
MEM 105.050781 1569367405.1852
MEM 105.050781 1569367405.2856
MEM 105.050781 1569367405.3860
MEM 105.050781 1569367405.4864
MEM 105.050781 1569367405.5868
MEM 105.050781 1569367405.6872
MEM 105.050781 1569367405.7876
MEM 105.050781 1569367405.8881
MEM 105.050781 1569367405.9885
MEM 105.050781 1569367406.0888
MEM 105.050781 1569367406.1892
MEM 105.050781 1569367406.2896
MEM 105.050781 1569367406.3900
MEM 105.050781 1569367406.4904
MEM 105.050781 1569367406.5908
MEM 105.050781 1569367406.6941
MEM 105.050781 1569367406.7945
MEM 105.050781 1569367406.8950
MEM 105.050781 1569367406.9953
MEM 105.050781 1569367407.0958
MEM 105.050781 1569367407.1962
MEM 105.050781 1569367407.2966
MEM 105.050781 1569367407.3970
MEM 105.050781 1569367407.4974
MEM 105.050781 1569367407.5978
MEM 105.050781 1569367407.6982
MEM 105.050781 1569367407.7987
MEM 105.050781 1569367407.8991
MEM 105.050781 1569367407.9995
MEM 105.050781 1569367408.1000
MEM 105.050781 1569367408.2005
MEM 105.050781 1569367408.3010
MEM 105.050781 1569367408.4014
MEM 105.050781 1569367408.5019
MEM 105.050781 1569367408.6023
MEM 105.050781 1569367408.7027
MEM 105.050781 1569367408.8031
MEM 105.050781 1569367408.9036
MEM 105.050781 1569367409.0040
MEM 105.050781 1569367409.1044
MEM 105.050781 1569367409.2048
MEM 105.050781 1569367409.3052
MEM 105.050781 1569367409.4056
MEM 105.050781 1569367409.5061
MEM 105.050781 1569367409.6065
MEM 105.050781 1569367409.7069
MEM 105.050781 1569367409.8073
MEM 105.050781 1569367409.9078
MEM 105.050781 1569367410.0083
MEM 105.050781 1569367410.1088
MEM 105.050781 1569367410.2093
MEM 105.050781 1569367410.3097
MEM 105.050781 1569367410.4101
MEM 105.050781 1569367410.5105
MEM 105.050781 1569367410.6110
MEM 105.050781 1569367410.7114
MEM 105.050781 1569367410.8118
MEM 105.050781 1569367410.9122
MEM 105.050781 1569367411.0127
MEM 105.050781 1569367411.1131
MEM 105.050781 1569367411.2135
MEM 105.050781 1569367411.3139
MEM 105.050781 1569367411.4144
MEM 105.050781 1569367411.5148
MEM 105.050781 1569367411.6152
MEM 105.050781 1569367411.7156
MEM 105.050781 1569367411.8171
MEM 105.050781 1569367411.9175
MEM 105.050781 1569367412.0179
MEM 105.050781 1569367412.1183
MEM 105.050781 1569367412.2187
MEM 105.050781 1569367412.3191
MEM 105.050781 1569367412.4196
MEM 105.050781 1569367412.5200
MEM 105.050781 1569367412.6204
MEM 105.050781 1569367412.7208
MEM 105.050781 1569367412.8213
MEM 105.050781 1569367412.9217
MEM 105.050781 1569367413.0221
MEM 105.050781 1569367413.1225
MEM 105.050781 1569367413.2229
MEM 105.050781 1569367413.3234
MEM 105.050781 1569367413.4238
MEM 105.050781 1569367413.5242
